,title_2011,place_2011,title_2017,place_2017,sex,guid
2009,Associate Professor,University of South Carolina,Full Professor,University of South Carolina,M,35031623e27946b9a4b1443a2e939f6b
2010,Full Professor,North Carolina State University,Full Professor,North Carolina State University,M,45873e85e3494f8093267c43b036b48a
2011,Associate Professor,University of Manitoba,Full Professor,University of Manitoba,F,0c43840d21dd47fa80ed4bf4479ca085
2012,Full Professor,College of William & Mary,Full Professor,College of William & Mary,F,931ac39880a14b9297863d4c570245a7
2013,Full Professor,"University of Wisconsin, Madison",Full Professor,"University of Wisconsin, Madison",M,aa658a09cd8f40558f2086df15209cd9
2014,Full Professor,Princeton University,Full Professor,Princeton University,M,c3e9d2785ed4498fae29a3c6b530aabb
2015,Full Professor,University of Toronto,Full Professor,University of Toronto,M,7df45899b5ad41ba8016e34cf3e2918c
2016,Full Professor,Indiana University,Full Professor,Indiana University,M,955d0a36f56a4376af479d79cadad9c3
2017,Associate Professor,University of British Columbia,Full Professor,University of British Columbia,M,7c8f0eb0e02b4d78addbb2d0068c56dd
2018,Full Professor,Dartmouth College,Full Professor,Dartmouth College,M,daa56ae979cb4839bb8fb1b30a50f50f
2019,Assistant Professor,"University of California, San Diego",Associate Professor,"University of California, San Diego",M,89a4605fa8fc47ae98bbab65ee82e702
2020,Associate Professor,Simon Fraser University,Associate Professor,Simon Fraser University,F,bb8699bf324641f296d58c6c34debabc
2021,Full Professor,University of Notre Dame,Full Professor,University of Notre Dame,M,d59ebe40427f415d97289e83367b5014
2022,Full Professor,Memorial University of Newfoundland,Full Professor,Memorial University of Newfoundland,M,eadc17ee39934980886d54473ed436a7
2023,Associate Professor,Clemson University,Associate Professor,Clemson University,M,fbeebdf6191845a8b9db8867d4cfe163
2024,Associate Professor,University of South Carolina,Full Professor,University of South Carolina,F,8167c56c24074dbeb225d29ad47c116f
2025,Full Professor,Southern Methodist University,Full Professor,Southern Methodist University,M,0cfc8a8a4cf64200a62d3fab73196f2a
2026,Assistant Professor,University of Calgary,Associate Professor,University of Calgary,M,f74907df79564cd196ea335c51d39d61
2027,Assistant Professor,Oregon Health & Science University,Full Professor,Oregon Health & Science University,M,56ca3a05c64846beb440b34e16b94682
2028,Associate Professor,Southern Methodist University,Full Professor,Southern Methodist University,M,a7493270abf64092a816418afe064b2a
2029,Associate Professor,McMaster University,Associate Professor,McMaster University,M,aa76de1b1c5844b1a18a17f32d7e8e78
2030,Assistant Professor,George Washington University,Assistant Professor,George Washington University,M,f1c5ae0afb4b42d5aa32373055d0a668
2031,Full Professor,"University of Arkansas, Fayetteville",Full Professor,"University of Arkansas, Fayetteville",F,f6be492e6fc647b6ac99952704009808
2032,Assistant Professor,Wayne State University,Associate Professor,Wayne State University,M,e4117ef573424af7a9a3e708eb741fab
2033,Associate Professor,New Mexico Tech,Associate Professor,New Mexico Tech,M,30f6829dde324bf0b5bbf34805a1db68
2034,Full Professor,Pennsylvania State University,Full Professor,Pennsylvania State University,M,9f549a73139e41f3a5d65223dc5e14c5
2035,Assistant Professor,Old Dominion University,Associate Professor,Old Dominion University,F,0387fda77296424aa4d9aeeeb8f5cca7
2036,Assistant Professor,DePaul University,Associate Professor,DePaul University,F,6ee64643a69e4d2698d0c871ed71a0b2
2037,Full Professor,Michigan State University,Full Professor,Michigan State University,M,b350bf7ec3a04b3d9bc551cffe0f7f3d
2038,Associate Professor,"University of Missouri, Columbia",Associate Professor,"University of Missouri, Columbia",M,680d138107964332a69981d3cb5b0deb
2039,Assistant Professor,University of Ottawa,Associate Professor,University of Ottawa,F,029dddbfb9f149a198b74bcaac08a222
2040,Assistant Professor,"University of Illinois, Urbana Champaign",Associate Professor,"University of Illinois, Urbana Champaign",M,eee29d25bcf14eb1a06580ab07812dc6
2041,Associate Professor,"Washington University, St. Louis",Full Professor,"Washington University, St. Louis",M,b4d84a7c7d9d437d95366629a1099eed
2042,Assistant Professor,Stanford University,Associate Professor,Stanford University,M,15a0c546c3f6416087fe635a17184c23
2043,Associate Professor,University of Hawaii,Associate Professor,University of Hawaii,F,d343f7fab59a47709287df6c57f3c576
2044,Full Professor,Naval Postgraduate School,Full Professor,Naval Postgraduate School,F,d2377414d1de434e94d8ccc9831c4423
2045,Associate Professor,"University of Wisconsin, Madison",Full Professor,"University of Wisconsin, Madison",M,6397a655297942b9aa19a533cde35ccb
2046,Associate Professor,Arizona State University,Associate Professor,Arizona State University,M,c116620b169441c292160a80c5dc4e05
2047,Assistant Professor,Columbia University,Assistant Professor,Columbia University,M,9dcad7892f984f4f94f9fc0d986180e2
2048,Associate Professor,University of Alberta,Associate Professor,University of Alberta,M,d3db91c851d94048b370b61f6aa0bd95
2049,Full Professor,McGill University,Full Professor,McGill University,M,bf71c049edd947f5973b77002a37a9fb
2050,Full Professor,"University of California, Santa Barbara",Full Professor,"University of California, Santa Barbara",M,b667f55b324443fb8f82b3f30a2c0e20
2051,Associate Professor,"University of Missouri, Columbia",Associate Professor,"University of Missouri, Columbia",M,db1915dc9d1f4ed8b40121ff0ddf313d
2052,Full Professor,Princeton University,Full Professor,Princeton University,M,31b4748d90c144e9824ae7da25947acd
2053,Full Professor,"University of California, Irvine",Full Professor,"University of California, Irvine",M,7440c0c6196a49468a4b464f317294e9
2054,Full Professor,University of Connecticut,Full Professor,University of Connecticut,M,29402de25957411883ff03e81676b970
2055,Full Professor,"University of California, San Diego",Full Professor,"University of California, San Diego",M,e1200d332f7d468495fe2d8b8fb26c18
2056,Assistant Professor,University of Virginia,Associate Professor,University of Virginia,M,fc8a4bab83d74c11a6f5d09d0971e3a4
2057,Full Professor,Massachusetts Institute of Technology,Full Professor,Massachusetts Institute of Technology,M,7a35931a2c764cef8af88aacb1eb6e3b
2058,Assistant Professor,University of Southern Mississippi,Associate Professor,University of Southern Mississippi,F,bab97edaa060403ba39e00bb09ccf557
2059,Assistant Professor,Ohio State University,Associate Professor,Ohio State University,M,5433aa26971d438594026b6dde4626dd
2060,Associate Professor,Columbia University,Associate Professor,Columbia University,F,5a02367ea3d84eeb9ced993dc2e8aa70
2061,Associate Professor,"University of Tennessee, Knoxville",Associate Professor,"University of Tennessee, Knoxville",M,f7f95afbde8540e4ba22fe77a55a403d
2062,Associate Professor,University of South Carolina,Full Professor,University of South Carolina,M,4dab7802826744afbd244024e33ca0db
2063,Associate Professor,University of South Carolina,Full Professor,University of South Carolina,M,39c6110152374748891a53b2c997d092
2064,Associate Professor,"University of Arkansas, Little Rock",Full Professor,"University of Arkansas, Little Rock",M,038862505bea4829bb037f60bb14f397
2065,Associate Professor,Rensselaer Polytechnic Institute,Full Professor,Rensselaer Polytechnic Institute,M,01d3a149c1af48cd91b0b2f3ac7520d4
2066,Full Professor,"University of Alabama, Huntsville",Full Professor,"University of Alabama, Huntsville",F,702c7b6f07584bf19f873b45dc39c452
2067,Associate Professor,"University of Wisconsin, Milwaukee",Associate Professor,"University of Wisconsin, Milwaukee",M,8d887961d91f41879f3dc299a37cd0e7
2068,Associate Professor,University of Waterloo,Associate Professor,University of Waterloo,M,67b271d3916948ce900e3de2cac21735
2069,Full Professor,University of Alberta,Full Professor,University of Alberta,F,0ef734a9fc6b48dabd256b294e9042b2
2070,Associate Professor,"Binghamton University, SUNY",Associate Professor,"Binghamton University, SUNY",M,ac246376d9a34b38b7ea12398e1629b3
2071,Associate Professor,Auburn University,Full Professor,Auburn University,M,3afef3a7ed294928bd70c76c5cd229df
2072,Associate Professor,Memorial University of Newfoundland,Associate Professor,Memorial University of Newfoundland,M,7939c6f657a94562b48cc107537e6f2d
2073,Associate Professor,University of Waterloo,Associate Professor,University of Waterloo,F,15ebd7949b9e4bc693c399749eecf91e
2074,Associate Professor,University of New Mexico,Associate Professor,University of New Mexico,M,82eea0d90a51407cb3135a0d25b5ebef
2075,Full Professor,Pennsylvania State University,Full Professor,Pennsylvania State University,M,34736e8754094818b22d399d6084576e
2076,Associate Professor,University of Pittsburgh,Full Professor,University of Pittsburgh,M,e55df7c604174845aa816870a5c6a33c
2077,Full Professor,Duke University,Full Professor,Duke University,M,ad6e1215d7634d73ba89bde7b7836aa5
2078,Assistant Professor,Northeastern University,Associate Professor,Northeastern University,M,b13ee4765f0749f4bbb328abec790675
2079,Full Professor,"University of California, Los Angeles",Full Professor,"University of California, Los Angeles",M,04bbe49f89f24fcd82b186e88301fb5b
2080,Full Professor,Rutgers University,Full Professor,Rutgers University,F,3948bdb92771479f9dfdad4cb567b501
2081,Full Professor,"University of California, Santa Barbara",Full Professor,"University of California, Santa Barbara",F,665dec2255cb438589b9edc415811b38
2082,Assistant Professor,George Mason University,Associate Professor,George Mason University,F,308008fcc4ec42f6a808051a0e5d58e4
2083,Full Professor,"University of Texas, Austin",Full Professor,"University of Texas, Austin",M,aef4f01ab9c944f084d2d8d2f98f242a
2084,Full Professor,Temple University,Full Professor,Temple University,M,a5c712f188ab4634a9a544b3e3de0b95
2085,Assistant Professor,University of Chicago,Assistant Professor,University of Chicago,M,011e67124adc48debba6a38676a6018c
2086,Associate Professor,University of Pennsylvania,Full Professor,University of Pennsylvania,M,266723f710164308820d17187c6e9d4b
2087,Full Professor,"University of Texas, Austin",Full Professor,"University of Texas, Austin",M,11359cbf030a400a82975f6f5d639a0d
2088,Associate Professor,"University of Texas, Dallas",Full Professor,"University of Texas, Dallas",M,e7f12763043d4d32adae5f9bfa9c7250
2089,Full Professor,University of Michigan,Full Professor,University of Michigan,M,850a48ceab154879aed60e08df901263
2090,Assistant Professor,Rutgers University,Associate Professor,Rutgers University,.,a57e12c8828a4e4090a02c8bb34b85d2
2091,Full Professor,Rice University,Full Professor,Rice University,M,0526476d8276466bbebf8993fefa2fca
2092,Associate Professor,University of Georgia,Full Professor,University of Georgia,M,b24c7150ae794305a85dae1223e73e37
2093,Associate Professor,College of William & Mary,Associate Professor,College of William & Mary,M,54d39c9451f944de9643c804f7794d64
2094,Full Professor,"University of Massachusetts, Amherst",Full Professor,"University of Massachusetts, Amherst",M,a1b978caedf14361ae7490ca24d7ec91
2095,Assistant Professor,Missouri University of Science & Technology,Associate Professor,Missouri University of Science & Technology,F,8de9c28ea8c94ffbae199099dbbfdde3
2096,Full Professor,New Mexico Tech,Full Professor,University of Southern Mississippi,M,3b1c3feacf364fe58850a6d47e91230a
2097,Full Professor,Pennsylvania State University,Full Professor,Pennsylvania State University,M,a13715e23569485893e372d7ec79ee57
2098,Full Professor,Stanford University,Full Professor,Stanford University,M,f7847406f6684e97b686488d0e7e5d9c
2099,Associate Professor,DePaul University,Associate Professor,DePaul University,M,e126d4e0f4594edb971d2283e06a06b2
2100,Associate Professor,University of Waterloo,Associate Professor,University of Waterloo,M,22d52d90f3304ace9656fdd9470cd2fd
2101,Full Professor,"University of Nevada, Las Vegas",Full Professor,"University of Nevada, Las Vegas",M,2c4d71cdc3ec422cba834fd46db17b2c
2102,Full Professor,University of Victoria,Full Professor,University of Victoria,M,bcf40b0eb223452dac626cc04dd8dd5f
2103,Full Professor,George Mason University,Full Professor,George Mason University,M,c2810e46b9a64fcf952a2bc44ae67ee7
2104,Associate Professor,University of Minnesota,Associate Professor,University of Minnesota,M,b8c9fc8ade49436088bda5e4637149a5
2105,Full Professor,Kent State University,Full Professor,Kent State University,M,03e193d3bb0d48e6aa0f49b05b7c9b39
2106,Full Professor,"University of California, Berkeley",Full Professor,"University of California, Berkeley",M,a997febe6e0a4a27978883740672e84e
2107,Associate Professor,Rutgers University,Full Professor,Rutgers University,M,e4e1b9eec03041209f06b78c88bf04da
2108,Associate Professor,University of British Columbia,Full Professor,University of British Columbia,F,5ef26f2ac8024d0faa6c862904c52ff9
2109,Associate Professor,University of Southern Mississippi,Full Professor,University of Southern Mississippi,M,2adde53d0d14433aa936e1bceee52f12
2110,Full Professor,New York University,Full Professor,New York University,M,673a4715a7394435ac361167cd7c1865
2111,Associate Professor,University of Connecticut,Associate Professor,University of Connecticut,M,a634b9d76d954cce8425ddc5ff6dcc92
2112,Full Professor,Texas A&M University,Full Professor,Texas A&M University,M,85cadfb1ccf64042ac5131ad929114ab
2113,Full Professor,University of Minnesota,Full Professor,University of Minnesota,M,e5820d3d72a745d08a0451d1bdd24e71
2114,Assistant Professor,Tufts University,Associate Professor,Tufts University,M,3e82bae23da345c99469deaca857806e
2115,Associate Professor,University of Delaware,Associate Professor,University of Delaware,M,c09a2588a8cf4757989535f520a4d83d
2116,Full Professor,"University of Wisconsin, Madison",Full Professor,"University of Wisconsin, Madison",M,93409d5908a24d7aa9874143e515f667
2117,Full Professor,"University of California, Berkeley",Full Professor,"University of California, Berkeley",M,f482eb64b0e14f8abe3ca6386c98195a
2118,Full Professor,University of Houston,Full Professor,"Stony Brook University, SUNY",F,812a8a33623c4f11bdc034483aae1db0
2119,Associate Professor,Wayne State University,Associate Professor,"University of Texas, Dallas",M,8013f5d75256489b8de1bc8e128c84ea
2120,Full Professor,University of Kentucky,Full Professor,University of Kentucky,M,c40243e4f4c3491eb70da235b7a0f7dd
2121,Full Professor,Northeastern University,Full Professor,Northeastern University,M,43e0340e86c9495d89d9f035c3b350d0
2122,Associate Professor,Florida Atlantic University,Full Professor,Florida Atlantic University,F,1f996e788aa44304af338b2dd07e7c5d
2123,Associate Professor,"University of Texas, Austin",Full Professor,Cornell University,M,2106be317ecd4d8e8ea46d5d00825b5f
2124,Associate Professor,Tufts University,Associate Professor,Tufts University,M,87f8cda5447e46a4b08da887b90258bb
2125,Associate Professor,University of Georgia,Full Professor,University of Georgia,M,0b6b99f209d84a5fa9f712f807bd9f1e
2126,Associate Professor,Auburn University,Associate Professor,Auburn University,F,df5f2ddc3d9f47bcbc641239080003a0
2127,Assistant Professor,"University of Buffalo, SUNY",Associate Professor,Northeastern University,M,b40e3e3727204a68b9eb2ec411d78aa1
2128,Full Professor,University of British Columbia,Full Professor,University of British Columbia,M,af36d22cfc8c48268a2dacc8e5a256b5
2129,Full Professor,"University of Maryland, Baltimore County",Full Professor,"University of Maryland, Baltimore County",M,3e23885746a0469989e613d1180adb69
2130,Assistant Professor,College of William & Mary,Associate Professor,North Carolina State University,M,53a1e8e3452a48009eba887cb930d7a2
2131,Associate Professor,Princeton University,Full Professor,Princeton University,F,c6ac3eab4ebc4f2aa2fd0a3df0fa846a
2132,Assistant Professor,"University of Wisconsin, Madison",Associate Professor,"University of Wisconsin, Madison",M,bbba4a38abb9402781eb10c939357bb3
2133,Associate Professor,"University of Massachusetts, Amherst",Associate Professor,"University of Massachusetts, Amherst",M,5f140599316e46bd804dcc2ef136a189
2134,Full Professor,Louisiana State University,Full Professor,Louisiana State University,M,a97ed0e5d4704fa2aa1e0f7694fc497c
2135,Full Professor,Simon Fraser University,Full Professor,Simon Fraser University,M,42a91bc5bb6641ca9421e0a68d8a0df1
2136,Associate Professor,University of Utah,Full Professor,University of Utah,M,8735416c53ef4c7ca0ec7699e8f8e91d
2137,Assistant Professor,University of Toronto,Full Professor,University of Toronto,M,8846e4f9c5ac47c8ae47daa6fd35806f
2138,Associate Professor,York University,Associate Professor,York University,M,22254365a419481f9a97296691a3feaf
2139,Associate Professor,Portland State University,Associate Professor,Portland State University,M,cd40538527ae42fea136f764b0029974
2140,Associate Professor,Queen's University,Associate Professor,Queen's University,M,62fedf680fd34dc3a38d8d2984781b0c
2141,Full Professor,Colorado State University,Full Professor,Colorado State University,M,8c7d07b3247c4a38a7c0bad8b950368f
2142,Full Professor,"University of Missouri, Kansas City",Full Professor,"University of Missouri, Kansas City",M,dc9784211ce44b1d9e9a0cd78986de08
2143,Associate Professor,York University,Associate Professor,York University,M,39e80f887a8c41628b770c32821edcc6
2144,Assistant Professor,University of Saskatchewan,Associate Professor,University of Saskatchewan,M,414bada05e6e48fc9ab9a014a91e86c3
2145,Full Professor,"University of Buffalo, SUNY",Full Professor,"University of Buffalo, SUNY",F,39f3073fd4134c6aaf5dc5ff5e11fee3
2146,Full Professor,College of William & Mary,Full Professor,College of William & Mary,M,7d2c0b9e70184e16ab03d6c23256f288
2147,Associate Professor,Florida International University,Associate Professor,Florida International University,M,503c331a3e53415aa295b85c0467dcbc
2148,Associate Professor,University of Idaho,Associate Professor,University of Idaho,M,9ae2ed5ff1a541609cf9a08fa07e961d
2149,Assistant Professor,"University of California, Los Angeles",Associate Professor,"University of California, San Diego",M,03ebe60df0244bceabfcd4a4b433f67d
2150,Full Professor,University of Saskatchewan,Full Professor,University of Saskatchewan,M,04a3fa6b046c4aa7b4575067c7483ee6
2151,Assistant Professor,Northeastern University,Assistant Professor,Northeastern University,M,86ceb41e23324d0ba28ffb887551b151
2152,Full Professor,Florida International University,Full Professor,Florida International University,F,d774eb509da94afd95f2016a30c58b34
2153,Associate Professor,Georgia Institute of Technology,Associate Professor,Georgia Institute of Technology,M,7b5f1ac373e04f3183b234c65c52cfe7
2154,Assistant Professor,"University of Buffalo, SUNY",Assistant Professor,"University of Buffalo, SUNY",F,c5e47e09b0c4445a92836398e9b511ed
2155,Full Professor,"University of Texas, Austin",Full Professor,"University of Texas, Austin",M,9366753586a9417186aa50cbfb421975
2156,Associate Professor,York University,Full Professor,York University,M,e4bc8aa2d8b947fcbe2111fa8edbddbe
2157,Full Professor,Kent State University,Full Professor,Kent State University,M,49b77812f4254a61a67a72ec17010ca8
2158,Associate Professor,Colorado State University,Full Professor,Colorado State University,M,8d93eb01e7e547e098f7c3e099996a2d
2159,Associate Professor,Purdue University,Associate Professor,Purdue University,M,d7d13f10eea54d06aca577b23ab406f6
2160,Associate Professor,"University of Nebraska, Lincoln",Full Professor,"University of Nebraska, Lincoln",M,c1796e526b9d468086f8901f20e8bfd7
2161,Full Professor,North Dakota State University,Full Professor,North Dakota State University,M,bbbeb48d04ef4771a4fe1074be8e7f51
2162,Associate Professor,Wayne State University,Associate Professor,University of Idaho,M,aaca18942c284e8bac042ac24a6a56aa
2163,Associate Professor,Florida Atlantic University,Full Professor,Florida Atlantic University,M,be628ccb56734cbb8242d66064ee81ee
2164,Full Professor,University of Hawaii,Full Professor,University of Hawaii,M,281f085a37814d7d85271a118c183698
2165,Associate Professor,University of Oklahoma,Full Professor,University of Oklahoma,M,0cac2a72349a49b1ae483bad07bd0eb7
2166,Full Professor,Carnegie Mellon University,Full Professor,Carnegie Mellon University,M,7fe81ebf3f1c4039b4830880fce63387
2167,Full Professor,McMaster University,Full Professor,McMaster University,M,634afa585c564edc9afdb4b23ddab4a1
2168,Full Professor,"University of Texas, Dallas",Full Professor,"University of Texas, Dallas",M,b1e2c9af94474c348005150d135f0de5
2169,Associate Professor,Brown University,Full Professor,Brown University,M,d0a345aaee694d6d93fdfcf0a0f9f3d0
2170,Full Professor,"University of Wisconsin, Madison",Full Professor,"University of Wisconsin, Madison",M,4c4770b842ab43f49ede4d32922ccc6b
2171,Full Professor,"University of Illinois, Urbana Champaign",Full Professor,"University of Illinois, Urbana Champaign",M,14559511073d4233974ff2217ca2d090
2172,Associate Professor,University of Ottawa,Full Professor,University of Ottawa,M,dd57e30f1e2043a4ad741c55e05040a1
2173,Associate Professor,North Carolina State University,Full Professor,North Carolina State University,F,f7068d98ec20403f84dff02f501f27be
2174,Associate Professor,University of Waterloo,Full Professor,University of Waterloo,F,ae5f6e6619654ef8bb08a376acf5ab76
2175,Assistant Professor,University of Toronto,Full Professor,University of Toronto,F,e1fb246f41d849748a141b1705682d8f
2176,Associate Professor,University of Montreal,Full Professor,University of Montreal,F,04db455965774bcf9a2976a455e84a70
2177,Assistant Professor,Cornell University,Associate Professor,Cornell University,M,9575310dc74e4730b958793e064afd4c
2178,Associate Professor,University of Utah,Full Professor,University of Utah,M,662b1fe64c944d86829690a05dfe84a6
2179,Associate Professor,University of Toronto,Associate Professor,University of Toronto,M,1846cf8959a046beb4cb4a1edd04c47c
2180,Full Professor,Brandeis University,Full Professor,Brandeis University,M,5c48f6aa7c2c4b3f9cb092812dd2258e
2181,Assistant Professor,University of Tulsa,Associate Professor,University of Tulsa,M,c15e2dad0072476e9469a2f82a18f34e
2182,Assistant Professor,University of Connecticut,Associate Professor,University of Connecticut,M,5fe49af93cd94c9f8f1034ce60b6dcae
2183,Full Professor,Texas A&M University,Full Professor,Texas A&M University,M,e6af5e72c99948cd9f026f198ae9f5fc
2184,Assistant Professor,Mississippi State University,Associate Professor,"City University of New York, Graduate Center",M,c16e2203001e4852b99fb0b354f4be3e
2185,Full Professor,University of Chicago,Full Professor,University of Chicago,M,25cda5066553471eb8c152be32440809
2186,Full Professor,University of Waterloo,Full Professor,University of Waterloo,M,947a50ac00e449e89e6ecfc4bcccfd96
2187,Full Professor,"Stony Brook University, SUNY",Full Professor,"Stony Brook University, SUNY",M,d8a145158aed46aeb517024dfa05dd97
2188,Full Professor,Georgia Institute of Technology,Full Professor,Georgia Institute of Technology,F,2774e4548b4343538e88a7e5cf3b3425
2189,Associate Professor,Georgia Institute of Technology,Associate Professor,Georgia Institute of Technology,F,c68d5a6c923144c582c29d3ed0671f5b
2190,Full Professor,"University of California, Los Angeles",Full Professor,Cornell University,F,2bec820712b64da2a718e1e51f139094
2191,Full Professor,Northwestern University,Full Professor,Northwestern University,M,17d9a124c9f1437a8b673297b26d8102
2192,Full Professor,"University of California, Berkeley",Full Professor,"University of California, Berkeley",M,d0a30749a15f49d69ed5a7f164a58f64
2193,Associate Professor,University of Western Ontario,Associate Professor,University of Western Ontario,M,4d64e4c368254dd98efe751a26ae54ca
2194,Associate Professor,DePaul University,Full Professor,DePaul University,M,32e68ad64c794d82a0408be87124c94d
2195,Associate Professor,Case Western Reserve University,Associate Professor,Arizona State University,M,6c6c8178992642c19e6fe9a4c573deb8
2196,Associate Professor,Stanford University,Full Professor,Stanford University,M,6c20c16fc6b84e089b9f727b96e51690
2197,Associate Professor,North Carolina State University,Associate Professor,North Carolina State University,M,ddc889dd80a54d34b68a8d0f19605180
2198,Associate Professor,Duke University,Full Professor,Duke University,M,2fc1e9bee50943d48a88cba8f0d39196
2199,Full Professor,"University of California, Irvine",Full Professor,"University of California, Irvine",M,77fe2e9ec70d4896893c4dbc80381c39
2200,Full Professor,University of New Brunswick,Full Professor,University of New Brunswick,M,9e814f827b994aa18c5afac03d9164f2
2201,Associate Professor,"University of Massachusetts, Amherst",Full Professor,"University of Massachusetts, Amherst",M,36d5147ba3824c2da5be237cce49e83e
2202,Full Professor,Johns Hopkins University,Full Professor,Johns Hopkins University,M,29d3069b58674132a5058cde5c872656
2203,Assistant Professor,Duke University,Associate Professor,Duke University,F,9830bf9f9eb4416c89559576b6b6f574
2204,Assistant Professor,Virginia Tech,Full Professor,Virginia Tech,M,687763d3136c46fdb3f6b455b1246344
2205,Assistant Professor,Brandeis University,Associate Professor,Brandeis University,M,ee79e1bdd15e4f3299c90317b0f83637
2206,Associate Professor,University of Kansas,Associate Professor,University of Kansas,M,a864942005c44b729cff8c96a260bdb6
2207,Full Professor,Oregon State University,Full Professor,Oregon State University,M,87c09a16542e45e794b294dc627dddc1
2208,Associate Professor,"Binghamton University, SUNY",Full Professor,"Binghamton University, SUNY",M,6af73e2455784fb1a96c4996eb7cdf26
2209,Full Professor,University of British Columbia,Full Professor,University of British Columbia,M,54fae371ecd546cdb8467a41d7167a0b
2210,Associate Professor,University of Washington,Full Professor,University of Washington,M,dd19992d7de4483fa87ef53091ab68f3
2211,Full Professor,Old Dominion University,Full Professor,Old Dominion University,M,6201e86d8c67476ea0aaa767f4635084
2212,Full Professor,Dartmouth College,Full Professor,Dartmouth College,M,3543becad21e44e7a688b84024bebe58
2213,Full Professor,Memorial University of Newfoundland,Full Professor,Memorial University of Newfoundland,M,186f7a5d06e844778929eb89693e035d
2214,Associate Professor,University of Chicago,Associate Professor,University of Chicago,F,bb06dd4833f2429193180d8228826097
2215,Associate Professor,University of Florida,Full Professor,University of Florida,M,157d8e9bb417427c92d876c3aa11036a
2216,Full Professor,Western Michigan University,Full Professor,Western Michigan University,M,0b07557f5cf149f5823b4b98f0e7958a
2217,Full Professor,University of Chicago,Full Professor,University of Chicago,M,7e74f973cf6c4b88b50c47647bd6cc28
2218,Associate Professor,"Washington University, St. Louis",Full Professor,"Washington University, St. Louis",M,bc157028f55d470fbac6b7d5f337fd48
2219,Full Professor,"University of Texas, Arlington",Full Professor,"University of Texas, Arlington",F,e39c11b0fe8340bf8db124a8f5d93467
2220,Assistant Professor,Worcester Polytechnic Institute,Assistant Professor,Worcester Polytechnic Institute,M,99c1116486ee401f9ad0ae1d8f6558a3
2221,Associate Professor,"University of California, Irvine",Full Professor,"University of California, Irvine",M,fa7c2b37ebcb4dc7876a8eeeafff80cc
2222,Full Professor,University of Southern California,Full Professor,University of Southern California,M,b9f0967290d7487cb4df3ffae67b9264
2223,Assistant Professor,University of Waterloo,Associate Professor,University of Waterloo,M,81c88fe165334c2a80fc14adf60354e9
2224,Assistant Professor,Illinois Institute of Technology,Associate Professor,Illinois Institute of Technology,M,43f96fb2011048698b381c1043cdffcb
2225,Assistant Professor,Virginia Tech,Associate Professor,Virginia Tech,M,ef0c0b13357a4dcfbb2edd4c0dca9f78
2226,Associate Professor,Carnegie Mellon University,Full Professor,Carnegie Mellon University,M,22acb207aa8c435dab3ccb8f53e38e7c
2227,Associate Professor,"University of Nebraska, Lincoln",Associate Professor,"University of Nebraska, Lincoln",M,eb2c9e19427c49609f27484c63817ac0
2228,Associate Professor,York University,Associate Professor,York University,F,c2b8ba19e47140cf84b4d4812dde1160
2229,Associate Professor,Dalhousie University,Associate Professor,Dalhousie University,M,33099b91ade2425a935f0f4aaef849d9
2230,Full Professor,"University of California, Riverside",Full Professor,"University of California, Riverside",M,f3b4043c4cba41469109e52493b6a605
2231,Full Professor,University of Alberta,Full Professor,University of Alberta,M,87a0da93d793411292ef4681b887ff8d
2232,Full Professor,Oregon State University,Full Professor,Oregon State University,M,bd1ac62011fe4bc58536544900d806b0
2233,Full Professor,Virginia Tech,Full Professor,Virginia Tech,M,2d4d438e43b1466c928239d3a14a6767
2234,Full Professor,Case Western Reserve University,Full Professor,Case Western Reserve University,M,1fa8cbcf372844f7ba69aa9f2d0403b7
2235,Full Professor,Stanford University,Full Professor,Stanford University,M,363531c870da4190acc34ea392218143
2236,Associate Professor,"Washington University, St. Louis",Full Professor,George Washington University,M,4324757b10844d41a035ff50c29dedd5
2237,Associate Professor,"University of Wisconsin, Madison",Full Professor,"University of Wisconsin, Madison",M,1df6ea29cb7445bea0f749dcd3be820c
2238,Associate Professor,Georgia State University,Full Professor,Georgia State University,M,6b5d2199d8054991a6a1016560e1fd6f
2239,Full Professor,"University of California, Berkeley",Full Professor,"University of California, Berkeley",M,998a287ede204be89908e49176e79abe
2240,Full Professor,Brandeis University,Full Professor,Brandeis University,M,e18c903c229045fdaf4e54254a0cc677
2241,Assistant Professor,University of South Florida,Associate Professor,University of South Florida,M,e2b43e5a656142f69d0463dedc5c2c79
2242,Associate Professor,New Mexico State University,Associate Professor,New Mexico State University,F,0871c83b67614450be810d4ca4376254
2243,Associate Professor,Brown University,Associate Professor,Brown University,F,fc92f07dd6854e35ba7ed1062439da16
2244,Associate Professor,Carnegie Mellon University,Full Professor,Carnegie Mellon University,M,ab635d90de784493aded3cfe9cbdf26d
2245,Full Professor,Cornell University,Full Professor,Cornell University,M,d3a138857a9a49bd9ccc4c545b8372fe
2246,Full Professor,University of Montreal,Full Professor,University of Montreal,M,96921581902d4d99b4c9edc86013e57c
2247,Full Professor,Massachusetts Institute of Technology,Full Professor,Massachusetts Institute of Technology,M,5430196bc4e2411ebf608ffbfacb6b5d
2248,Full Professor,"University of California, Davis",Full Professor,"University of California, Davis",M,acb0f1c5436648738bf4546cbcd6250a
2249,Full Professor,Indiana University,Full Professor,Indiana University,M,e6422337fc2f4b6491c50c5e99c0acc1
2250,Full Professor,Florida International University,Full Professor,Florida International University,M,3075ba7709a2444e9df3c99a17d23432
