,title_2011,place_2011,title_2017,place_2017,sex,guid
71,Associate Professor,Clemson University,,,M,fd379010489045ac8a9f10275d4958ac
72,Full Professor,University of Maryland,,,M,c672dcd3ecd0481c888362d8b9519262
73,Full Professor,Duke University,,,F,9e5581ca0d8d4e3093bd8bb6f08e358e
74,Full Professor,"Southern Illinois University, Carbondale",,,M,150ae2963d70413abc846f6d795eda3b
75,Full Professor,California Institute of Technology,,,M,1844da8263f94fb9a524d87ca017a9db
76,Full Professor,Iowa State University,,,M,936e8ca8d4a84b8e9252f563698e38b1
77,Full Professor,"University of Arkansas, Fayetteville",,,M,5047702af5ff4522b88869c71dd30765
78,Associate Professor,Worcester Polytechnic Institute,,,M,f7ce121cbfe341ebbe4da5eefd72679e
79,Assistant Professor,Queen's University,,,M,2387aa3698564f5999c00877b1737cca
80,Full Professor,University of Michigan,,,F,daab9bcf5d76484f8c378e5bdbadfc69
81,Associate Professor,"University of Texas, San Antonio",,,M,bd4887a5336940798ab7cda483a40904
82,Associate Professor,Rutgers University,,,M,aa2a8d84378f4e008ddb32e0cc5580bb
83,Full Professor,Georgia Institute of Technology,,,M,9abc3e3f4c6f4f59aa44be64a6dce443
84,Full Professor,University of Central Florida,,,M,ae833d05c7bc49199c1713184c388f1e
85,Associate Professor,University of Western Ontario,,,M,ed592ee4c89449d4ab53ce60acebf447
86,Full Professor,"University of Texas, Austin",,,F,d56184e13e294e6a87be47f5df0da45e
87,Assistant Professor,Purdue University,,,M,f6c87a0cc053400c8b188d181a953a10
88,Associate Professor,"University of Texas, Dallas",,,M,5780d47d441243c8960884af8487dfc2
89,Full Professor,"University of Tennessee, Knoxville",,,M,0a2e4b06aaf64311ade64072d53ce947
90,Assistant Professor,California Institute of Technology,,,M,1f5c9cfedf534e65a4dc6477ab7efe94
91,Associate Professor,Worcester Polytechnic Institute,,,M,3906e90075bb46209aedbba6449e63e3
92,Full Professor,University of Regina,,,M,f5987c6efadc45e183aac9153acce640
93,Full Professor,University of Rochester,,,M,07327069519446868027a1e0e7f7fb23
94,Associate Professor,Rochester Institute of Technology,,,M,5e45dcb0a2e241d7b802130ec20989ff
95,Assistant Professor,Wayne State University,,,M,5ad10f01c53c48cd852bff551ff5e997
96,Associate Professor,Northwestern University,,,M,ada671f33a614b8aab4a183b474649ce
97,Associate Professor,"University of Texas, San Antonio",,,F,29c1c69ba8334f0fac0d23c566a4d14b
98,Full Professor,"University of Arkansas, Fayetteville",,,M,a25fb2856f224ca098e8f3a6dc50acf4
99,Full Professor,Georgia Institute of Technology,,,M,488cef92362e480495da727f0a659e75
100,Full Professor,"University of California, Los Angeles",,,M,1b2a1010f8cf495d8e441b36683c1988
101,Associate Professor,Temple University,,,M,99f6de37fc8b4c3594b6fe28d3de38ea
102,Full Professor,"University of Texas, Austin",,,M,74ff3467a8bc44519d701161d458a50f
103,Associate Professor,"University of Nebraska, Lincoln",,,M,791ed0f059e34705b742aeebae24204a
104,Assistant Professor,DePaul University,,,F,2e6fbacab5634beaadf2628958fd2485
105,Associate Professor,Washington State University,,,M,0edd0b242f8c486385a2ae1d99fe7d8e
106,Full Professor,Kansas State University,,,M,732d7db97b304488999f48565867b36a
107,Associate Professor,George Mason University,,,M,94a18d43e09c4ef3bba65301fcd66241
108,Associate Professor,Virginia Tech,,,M,131c4844e2c148e89ebc6391de5f30bf
109,Full Professor,Northeastern University,,,F,836b9506176842458ff79863cc1f3c45
110,Full Professor,Simon Fraser University,,,M,27e071716ed74c93a35faaf6f23dc4ee
111,Full Professor,George Washington University,,,F,676c5a9803a94447a17b13e111941a4c
112,Associate Professor,"University of Buffalo, SUNY",,,M,66acb3934dd84609918b1c1751d45e32
113,Full Professor,Missouri University of Science & Technology,,,M,d225887c73794fc696230d3d518c9d3c
114,Full Professor,University of South Florida,,,M,0a1110aa0bb4495cb1b7c37f56f8cbd2
115,Full Professor,University of Washington,,,M,8845bad034ae446db3cbbeb025fee2fb
116,Full Professor,Carnegie Mellon University,,,M,b7fd3f2af7184ac4987518738a417c39
117,Assistant Professor,Duke University,,,M,a7f9e7b3e78e4587b5523151bfe061e8
118,Assistant Professor,Georgia Institute of Technology,,,M,41be853ee11c4edab67de63fb137f374
119,Associate Professor,DePaul University,,,F,7c85cc2df4d1455694caafa51eb921be
120,Full Professor,Worcester Polytechnic Institute,,,M,e0c3748fc6e948869cd1070533013907
121,Full Professor,Carnegie Mellon University,,,M,0e4fd71a65be42aab0b22665a37bfdf7
122,Associate Professor,Dartmouth College,,,M,0d96f75b33ba4c75aad05a2ec148c567
123,Full Professor,"University of Maryland, Baltimore County",,,M,042a38f1b059485faf274d470d212fc0
124,Full Professor,University of Georgia,,,M,4ccf5dbf40624253bfd642598d8b162a
125,Assistant Professor,Northwestern University,,,M,267387ecf7f04065ab4fd657e6a5de0c
126,Full Professor,University of North Texas,,,F,a80ae9c254ac4be588ec4be3b04fa7a1
127,Associate Professor,DePaul University,,,M,da5a96c46ee5469ca841a3f768b8e63a
128,Full Professor,University of Rochester,,,M,e96b1337240c42deb52493b549f8685f
129,Associate Professor,New York University,,,M,86bf306643b54297bf22e2fb192a3bad
130,Full Professor,"University of California, Irvine",,,M,3047e66065504b55a9f957b05049b6d5
131,Associate Professor,McGill University,,,M,dcdf8b33c0014045896519bf6186bb49
132,Full Professor,Queen's University,,,F,12b62ddb68da45ff9531a5ca287c7808
133,Full Professor,Carnegie Mellon University,,,M,664e90952f2342d6a8a152ad04de2bd7
134,Full Professor,Carnegie Mellon University,,,M,1562db3a6bd94a48b56f7e72e933c009
135,Full Professor,University of Utah,,,M,7ead2bf68eaf4dc2879dbd7e2d642bea
136,Associate Professor,Western Michigan University,,,M,bdf1020d08d84da2ba4ab79638677b29
137,Full Professor,Rensselaer Polytechnic Institute,,,M,0846581df5bd44c3baf384d7f3c8aea4
