	empirical	truth	fraction
Polytechnic Institute of New York University -> Gone	3.0	3.0	1.0
Oakland University -> Gone	1.0	0.0	0.0
University of Missouri, Columbia -> Gone	2.0	2.0	1.0
University of Montreal -> Gone	5.0	5.0	1.0
University of Wisconsin, Milwaukee -> Gone	1.0	1.0	1.0
University of Buffalo, SUNY -> Gone	3.0	3.0	1.0
Ohio State University -> Gone	1.0	1.0	1.0
University of Alabama, Tuscaloosa -> Gone	2.0	2.0	1.0
Drexel University -> Gone	2.0	0.0	0.0
Colorado School of Mines -> Gone	1.0	1.0	1.0
Purdue University -> Gone	2.0	1.0	0.5
Illinois Institute of Technology -> Gone	3.0	3.0	1.0
Long Island University -> Gone	0.0	0.0	
New Mexico Tech -> Gone	1.0	1.0	1.0
University of California, San Diego -> Gone	5.0	5.0	1.0
University of Texas, Dallas -> Gone	2.0	2.0	1.0
Dalhousie University -> Gone	2.0	0.0	0.0
University of Connecticut -> Gone	1.0	1.0	1.0
McGill University -> Gone	3.0	3.0	1.0
Rutgers University -> Gone	3.0	2.0	0.666666666667
Virginia Tech -> Gone	1.0	0.0	0.0
Wayne State University -> Gone	1.0	0.0	0.0
University of Waterloo -> Gone	9.0	9.0	1.0
University of Southern Mississippi -> Gone	1.0	1.0	1.0
University of Kentucky -> Gone	2.0	2.0	1.0
University of Chicago -> Gone	3.0	3.0	1.0
Massachusetts Institute of Technology -> Gone	8.0	8.0	1.0
Temple University -> Gone	3.0	0.0	0.0
Mississippi State University -> Gone	1.0	0.0	0.0
University of Bridgeport -> Gone	3.0	3.0	1.0
Dartmouth College -> Gone	1.0	1.0	1.0
University of Central Florida -> Gone	2.0	2.0	1.0
University of Massachusetts, Boston -> Gone	1.0	1.0	1.0
Michigan Technological University -> Gone	1.0	1.0	1.0
Case Western Reserve University -> Gone	1.0	0.0	0.0
University of Maryland -> Gone	3.0	3.0	1.0
University of Arizona -> Gone	1.0	1.0	1.0
University of Western Ontario -> Gone	2.0	2.0	1.0
University of South Carolina -> Gone	3.0	3.0	1.0
Wright State University -> Gone	2.0	0.0	0.0
University of Michigan -> Gone	3.0	3.0	1.0
University of Tennessee, Knoxville -> Gone	1.0	1.0	1.0
George Washington University -> Gone	0.0	0.0	
University of California, Santa Cruz -> Gone	3.0	3.0	1.0
North Dakota State University -> Gone	2.0	2.0	1.0
